City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,i-n-salah,27.1935,2.4607,38.62,10,0,5.4,DZ,1721506267
176,namibe,-15.1961,12.1522,16.91,86,73,0.77,AO,1721506268
177,freetown,8.484,-13.2299,25.28,88,100,5.46,SL,1721506269
178,hadibu,12.65,54.0333,26.04,80,89,10.71,YE,1721506271
179,tateyama,34.9833,139.8667,26.17,93,100,2.64,JP,1721506272
180,tulun,54.5611,100.5792,16.83,94,100,1.51,RU,1721506273
181,lucheng,31.2336,117.2806,26.95,84,97,3.03,CN,1721506275
182,gornozavodsk,58.3758,58.3211,12.86,94,100,4.34,RU,1721506276
183,cannonvale,-20.2833,148.7,16.66,70,14,1.39,AU,1721506277
184,angaur state,6.906,134.13,28.18,80,100,4.93,PW,1721506279
185,nkhata bay,-11.6066,34.2907,21.22,66,0,1.56,MW,1721506280
186,vatutine,49.015,31.0621,20.05,47,93,3.56,UA,1721506281
187,kailua-kona,19.6406,-155.9956,27.98,87,0,5.66,US,1721506283
188,inhambane,-23.865,35.3833,20.71,79,14,4.35,MZ,1721506284
189,fiambala,-27.6871,-67.6149,15.49,32,91,5.13,AR,1721506287
190,remire-montjoly,4.9167,-52.2667,31.02,66,0,2.57,GF,1721506288
191,walvis bay,-22.9575,14.5053,12.83,78,5,3.56,NA,1721506289
192,olonkinbyen,70.9221,-8.7187,4.25,96,100,4.17,SJ,1721506291
193,goundi,9.3627,17.366,21.86,97,100,1.67,TD,1721506292
194,korsor,55.3299,11.1386,19.01,68,0,4.5,DK,1721506293
195,port hueneme,34.1478,-119.1951,38.62,66,0,3.09,US,1721506190
196,pisco,-13.7,-76.2167,19.03,63,0,7.2,PE,1721506076
197,invercargill,-46.4,168.35,3.86,96,69,1.65,NZ,1721506297
198,tshabong,-26.05,22.45,10.27,26,16,3.95,BW,1721506299
199,hobyo,5.3505,48.5268,24.31,81,100,11.16,SO,1721506300
200,badger,64.8,-147.5333,22.21,46,0,1.54,US,1721506301
201,antsiranana,-12.2787,49.2917,20.41,71,5,4.71,MG,1721506303
202,xining,36.6167,101.7667,16.97,87,98,1.08,CN,1721506304
203,luganville,-15.5333,167.1667,25.26,90,92,4.53,VU,1721506305
204,bolszewo,54.618,18.1759,19.36,85,7,1.45,PL,1721506307
205,ilulissat,69.2167,-51.1,13.01,50,94,1.54,GL,1721506308
206,ebon,4.582,168.6964,28.97,74,28,6.08,MH,1721506309
207,carutapera,-1.195,-46.02,27.03,75,97,4.69,BR,1721506311
208,prince george,53.9166,-122.753,29.2,38,8,0.72,CA,1721506312
209,basoko,1.2391,23.616,22.11,95,100,1.0,CD,1721506313
210,alofi,-19.0595,-169.9187,23.94,83,41,1.54,NU,1721506315
211,sal rei,16.1833,-22.9167,24.36,82,0,6.08,CV,1721506316
212,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1721506317
213,lazaro cardenas,17.9583,-102.2,30.43,60,100,1.0,MX,1721506319
